zatu_handle,zatu_title,reason,bgg_id,bgg_name,score
eclipse-2nd-dawn-for-the-galaxy,Eclipse: 2nd Dawn for the Galaxy,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,85.18518518518519
exit-the-sunken-treasure,EXIT - The Sunken Treasure,"QUALITY_GATE: shrunk=7.01, usersrated=3852",226518,EXIT: The Game – The Sunken Treasure,100.0
the-resistance-3rd-edition,The Resistance - 3rd Edition,"QUALITY_GATE: shrunk=7.19, usersrated=42832",41114,The Resistance,100.0
avalon-hill-betrayal-legacy,Avalon Hill Betrayal Legacy,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,71.42857142857143
root-the-vagabond-pack,Root: The Vagabond Pack,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
root-the-marauder-expansion,Root: The Marauder Expansion,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
blockbuster,Blockbuster,"QUALITY_GATE: shrunk=6.55, usersrated=1865",272438,Blockbuster,100.0
my-city,My City,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
hanabi,Hanabi,"QUALITY_GATE: shrunk=7.03, usersrated=52916",98778,Hanabi,100.0
catan-junior,Catan Junior,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
tsuro,Tsuro,"QUALITY_GATE: shrunk=6.67, usersrated=30845",16992,Tsuro,100.0
final-girl-into-the-void,Final Girl: Into the Void,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
rise-empire-star-wars-empire-exp,Star Wars Rebellion: Rise of the Empire,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
arkham-horror-the-card-game-chapter-two-core-set,Arkham Horror: The Card Game - Chapter Two Core Set,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,70.96774193548387
ticket-to-ride-japan-italy-map-collection-volume-7,Ticket to Ride Japan & Italy: Map Collection Volume 7,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,59.25925925925925
fort,Fort,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
everdell-bellfaire-expansion,Everdell: Bellfaire Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.53658536585367
scrawl-green-box-edition,Scrawl - Green Box Edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,72.0
star-realms,Star Realms,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
cosmic-encounter,Cosmic Encounter,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
5-minute-dungeon,5 Minute Dungeon,"QUALITY_GATE: shrunk=6.89, usersrated=11874",207830,5-Minute Dungeon,100.0
dune-imperium-rise-of-ix-expansion,Dune: Imperium - Rise of Ix Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,68.57142857142857
the-quacks-of-quedlinburg-the-alchemists-expansion,The Quacks of Quedlinburg: The Alchemists Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,73.23943661971832
sleeping-queens,Sleeping Queens,"QUALITY_GATE: shrunk=6.47, usersrated=5480",17053,Sleeping Queens,100.0
alice-is-missing,Alice is Missing,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,75.86206896551724
arcs-leaders-lore-pack,Arcs: Leaders & Lore Pack,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
unlock-2,Unlock 2!,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,75.0
space-base,Space Base,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
marvel-champions-the-green-goblin-scenario-pack,Marvel Champions: The Green Goblin Scenario Pack,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
zatu-six-sided-dice-d6,Zatu Six-Sided Dice (d6),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,60.60606060606061
cascadia-kickstarter-edition,Cascadia - Kickstarter Edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,78.57142857142857
parks-2nd-edition,Parks 2nd Edition,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-apocalypse-dragon-mage-knight-expansion,The Apocalypse Dragon: Mage Knight Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,61.9718309859155
concept-boardgame,Concept Boardgame,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,77.41935483870968
faraway,Faraway,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
fake-artist-goes-new-york,A Fake Artist Goes To New York,"QUALITY_GATE: shrunk=7.10, usersrated=10805",135779,A Fake Artist Goes to New York,100.0
ticket-to-ride-india-map-collection,Ticket to Ride India: Map Collection,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,69.6969696969697
scythe-encounters,Scythe Encounters,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
oh-my-pigeons-party-game,Oh My Pigeons! Party Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,70.27027027027026
sanctum-of-twilight-mansions-of-madness-2nd-ed-exp,Mansions of Madness 2nd Edition: Sanctum of Twilight Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,65.06024096385542
mandala,Mandala,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
seti-space-agencies-expansion,SETI: Space Agencies Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,64.15094339622642
the-quest-for-el-dorado-game,The Quest for El Dorado Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,88.37209302325581
marvel-champions-iceman-hero-pack,Marvel Champions: Iceman Hero Pack,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
